WP,City,Date,WP1,WP2,N1,N2,N3,N4,Carbon,Ozone,Sulpher,OC1,IN1,OC2,IN2,SI
14738,Sanfransisco,20-05-2020,17.91,25.24,0.74,1.81,1.03,5.81,0.39,28.29,5.64,0.15,,0.12,18520.96,53
14739,Angol,25-04-2020,29.64,56.29,8.98,15.15,28.2,39.98,0.68,46.06,9.62,0.95,,0.58,10305.96,121
14740,Carlsbad,05-10-2017,49.72,101.84,6.53,11.61,11.51,29.76,0.82,42.75,9.61,8.56,,12.54,3792.96,117
14741,Padrelascasas,06-12-2020,21.8,50.48,26.34,2.23,39.56,26.47,3.11,21.73,12.82,,,0,6957.96,58
14742,Visalia,26-12-2017,135.37,219.97,210.55,46.94,148.89,5.8,0.8,24.07,1.5,5.83,,1.82,11106.96,291
14743,Fresno,02-08-2019,112.72,255.29,22.2,10.47,,6.62,,14.76,68.24,,,,18700.96,214
14744,Bakersfield,09-01-2016,40.36,108.62,34,54.7,70.66,11.07,1.27,24.28,10.92,,,3.53,8397.96,140
14745,Angol,27-06-2018,48.7,87.49,3.91,16.87,18.82,27.09,0.58,25.43,11.22,14.29,,0.94,18066.96,116
14746,LosAngeles,22-04-2019,15.25,38.31,3.12,18.78,12.29,4.13,0.49,12.64,5.35,27.6,2.38,0.09,5612.96,45
14747,NewYork,16-07-2018,17.87,92.63,10.3,12.03,21.54,10.13,0.78,11.08,10.78,2.15,2,1.08,10587.96,50
14748,LosAngeles,06-03-2015,34.07,,11.8,10.56,22.52,,0.64,22.3,5.8,,,,11385.96,69
14749,Sandiago,08-04-2017,45.17,,6.69,10.54,6.85,,0.18,18.12,3.93,0.05,,0.15,4754.96,80
14750,Carlsbad,20-01-2016,68.38,107.02,58.16,33.8,35.45,25.89,1.84,37.72,4.4,1.03,,1.82,14926.96,152
14751,Modesto,18-07-2019,28.43,63.17,5.58,19.95,15.12,33.18,1.07,20.44,10.06,3.8,0.2,1.67,10483.96,110
14752,LosAngeles,31-12-2019,43.69,78.61,5.98,45.07,29.12,19.88,0.62,39.9,7.91,2.91,0.97,0.43,15469.96,95
14753,Modesto,25-11-2018,101.97,200.16,25.75,43.55,55.6,48.69,1.85,21.95,16.23,4.63,,1.1,10417.96,277
14754,Padrelascasas,26-02-2020,74.29,168.59,20.87,25.4,34.22,27.33,3.14,38.38,7.99,,,0,9015.96,185
14755,LosAngeles,20-10-2017,24.94,180.62,3.05,28.89,13.56,12.65,0.26,64.1,7.69,3.78,0.55,0.81,5330.96,112
14756,Modesto,10-10-2016,97.12,123.53,10.26,56.77,37.69,54.05,7.19,27.05,35.01,10.44,10.64,4.64,14998.96,319
14757,Shreveport,23-05-2019,47.49,180.37,13.83,35.54,27.27,,18.87,69.64,84.99,23.37,2.04,1.15,15480.96,345
14758,Logan,11-06-2019,22.69,108.1,20.67,35.22,74.4,9.41,0.85,43.07,6.9,4.68,1.3,4.29,14181.96,118
14759,Mexico,05-01-2020,24.86,103.85,14.74,17.94,18.04,4.62,1.1,48.66,,0.11,0.06,0.1,9557.96,107
14760,NewYork,23-02-2020,61.6,105.91,18.8,15.13,30.85,8.03,0,30.77,6.6,,,,17091.96,106
14761,Sandiago,26-06-2018,51.24,,5.85,18.95,19.42,10.14,0.89,25.85,6.16,0.81,,0,8977.96,69
14762,Shreveport,24-11-2018,138.02,,7.45,20.15,23.23,,3.03,62.79,62.3,16.04,7.16,2.75,10242.96,477
14763,Medellin,28-09-2017,49.05,210.2,7.84,13.36,15.02,0.09,1.39,58.37,20,,,0,16562.96,116
14764,Logan,27-07-2018,24.42,90.91,11.3,27.93,26.84,18.89,0.37,18.22,8.83,5.04,1.25,1.99,13409.96,97
14765,Mexico,09-05-2019,8.52,20.71,1.29,3.78,2.9,2.16,0.56,26.23,15.43,0.14,0.1,0.09,4267.96,43
14766,Chico,17-12-2018,119.03,,3.56,11.94,8.62,33.95,1.19,18.2,10.37,1.4,,0.48,8604.96,232
14767,Carlsbad,17-06-2017,32.27,48.6,1.97,15.99,7.74,,0.45,19.39,3.38,0.86,,0.63,5390.96,88
14768,Coyhaique,07-08-2017,9.97,22.94,1.97,4.72,4.47,,0.99,14.74,6.15,,,,13728.96,54
14769,Angol,02-12-2018,65.48,153.37,16,38.52,40.52,31.74,0.73,31.05,16.11,3.03,,0.83,19690.96,119
14770,Padrelascasas,30-10-2019,112.96,191.81,56.22,37.78,103.55,44.84,3.75,6.44,12.44,,,0,3248.96,306
14771,Coyhaique,23-07-2018,17.86,24.6,7.59,13.38,18.81,15.09,0.77,32.18,7.35,,,,17124.96,46
14772,Carlsbad,15-06-2018,85.49,224.94,15.06,35.57,42.76,10.05,1.01,33.41,7.06,2.55,,0.58,16457.96,189
14773,Modesto,18-09-2019,39.96,91.18,15.15,38.97,30,27.87,1.09,49.42,14.27,15.05,0.24,3.02,337.96,104
14774,Bakersfield,26-12-2019,77.36,110.63,21.49,49.38,57.93,13.19,0.48,40.36,9.25,,,3.7,13553.96,142
14775,Coyhaique,13-06-2020,12.31,31.79,2.95,6.52,5.41,2.7,0.83,29.18,5.1,,,,10400.96,53
14776,Sandiago,22-09-2015,36.41,,6.72,17.22,19.37,23.91,2.81,23.16,12.13,,,,2360.96,92
14777,Mexico,24-03-2019,32.58,96.38,2.45,10.75,11.34,19.2,0.64,51.37,11.43,5.01,0.15,0.63,10180.96,81
14778,Chico,19-04-2018,233.35,,77.65,33.14,75.79,30.22,14.68,54.68,6.83,6.28,,2.45,2321.96,389
14779,Camden,16-04-2020,29.96,,1.63,18.67,14.11,25.78,0.35,44.43,1.93,,,0.73,7000.96,86
14780,Modesto,25-07-2017,103.66,210.03,91.28,29.4,80.62,59.67,1.97,31.97,22.49,12.68,0.03,3.14,2437.96,288
14781,Visalia,06-06-2020,31.68,80.91,4.18,16.6,21.38,29.21,0.47,23.62,6.2,4.85,0.56,1.19,18586.96,78
14782,Modesto,22-10-2019,45.43,56.29,12.09,28.72,33.84,57.24,0.67,43.24,11.71,13.63,0.01,1.95,3963.96,146
14783,Medellin,29-07-2019,,,,,,,,,,,,,5312.96,112
14784,LosAngeles,03-08-2020,27.42,105.11,3.48,22.99,12.59,,0.21,29.68,6.09,1.95,18.6,0.25,19282.96,68
14785,Camden,01-06-2016,213.45,,,,,,0.37,43.23,1.41,,,,2978.96,389
14786,Carlsbad,29-09-2016,21.9,88.34,13.48,27.11,0,32.11,0.98,6.5,6.79,10.27,,1.04,14286.96,97
14787,Coyhaique,29-04-2020,12.61,10.11,1.12,5.93,2.61,28.41,0.48,2.39,5.44,,,,11351.96,23
14788,Medellin,11-02-2019,54.35,58.42,35.69,8.72,60.77,9.94,1.18,24.29,12.81,,,0,19329.96,78
14789,NewYork,26-08-2018,,40.01,14.76,8.17,,6.69,0.11,15.39,6.38,2,9.97,5.03,10548.96,66
14790,Sandiago,26-03-2015,38.81,,8.5,14.27,23.32,28.52,1.62,42.42,9.63,2.54,,,3049.96,203
14791,Shreveport,10-05-2018,311.5,,31.82,76.37,46.89,,23.19,51.24,65.9,46.56,1.13,2.85,8823.96,408
14792,Shreveport,13-07-2018,14.44,,33.72,58.32,44.82,,36.35,12.68,48.62,80.04,1.49,6.3,10383.96,418
14793,Angol,01-11-2018,38.11,65.99,11.37,21.41,23.9,81.5,0.54,33.63,11.09,6.19,,0.33,1896.96,87
14794,Modesto,28-10-2019,198.38,274.6,55.4,41.94,77.93,28.84,7.81,22.52,14.71,4.08,1.5,1.92,1080.96,291
14795,Medellin,10-07-2018,50.81,80.66,19.02,19.72,26.74,13.8,0.79,15.6,15.37,,,0,13744.96,84
14796,Visalia,25-08-2018,15.55,27.64,8.28,11.91,21.35,5.91,0.39,32.49,10.01,12.02,1.06,21.72,9358.96,48
14797,Shreveport,29-06-2020,18.12,16.9,30.89,4.39,72.91,1.75,41.22,13.31,49.22,16.02,0.65,3.94,5947.96,98
14798,Carlsbad,04-11-2015,59.58,,8.96,30.37,26.81,6.16,11.02,31.35,5.51,1.28,,,11195.96,118
14799,Padrelascasas,28-11-2019,77.25,166.83,21.5,24.38,39.54,30.1,2.67,28.12,13.75,,,1.68,6325.96,164
14800,Sandiago,22-06-2016,37.99,,7.42,13.12,15.25,,1.42,36.72,17.52,1,,0.85,3670.96,195
14801,Carlsbad,07-08-2018,44.39,,6.71,25.9,26.01,17.31,0.69,38.16,2.28,0.04,,0,4274.96,64
14802,Medellin,08-03-2019,11,53.67,17.44,9.39,23.53,9.11,2.03,0.61,17.89,,,1.88,12215.96,77
14803,Edinburg,18-04-2019,63.84,,26.08,65.96,36.21,,0.76,125.05,26.97,18.48,5.26,1.19,12772.96,191
14804,Padrelascasas,29-09-2018,63.22,82.57,7.6,19.93,20.41,42.5,0.89,24.62,10.35,,,0.96,16074.96,103
14805,Chico,06-05-2018,52.91,,7.49,26.12,20.51,23.22,1.07,31.23,6.94,2.1,,1.13,12316.96,128
14806,Logan,02-10-2020,15.94,31.88,18.24,28.26,35.33,27.58,0.41,10.97,17.66,16.34,2.68,5.25,2246.96,54
14807,Coyhaique,03-07-2017,17.4,31.16,1.74,4.94,3.77,3.45,0.97,34.13,8.22,,,,81.96,54
14808,Padrelascasas,16-06-2020,11.58,25.26,18.49,0.64,17.21,0.34,0.97,33.7,13.57,,,14.92,19859.96,83
14809,Chico,03-07-2016,120.48,,6.12,28.37,,,1.66,15.54,4.51,13.24,,3.16,877.96,324
14810,Chico,03-04-2015,,,1.63,14.92,4.22,,37.11,22.56,136.59,,,0.17,5262.96,112
14811,LosAngeles,12-10-2017,45.54,108.2,5.3,52.32,7.54,11.8,0.26,28.22,24.41,3.14,1.64,0.4,5785.96,140
14812,Sandiago,16-10-2016,33.2,,7.71,8.14,16.93,,0.84,5.96,3.9,0.01,,0.04,17724.96,202
14813,Visalia,16-07-2016,26.39,36.87,2.52,8.39,13.25,17.69,0.36,26.49,8.69,15.7,0.21,1.53,3387.96,52
14814,Shreveport,19-01-2019,88.33,,28.73,46.48,50.74,,15.22,40.18,72.95,25.12,17.46,18.91,17143.96,834.8
14815,NewYork,25-01-2020,26.39,39.22,21.27,10.4,27.53,8.6,0.37,9.98,5.1,1.47,2.5,0.19,17740.96,47
14816,LosAngeles,19-03-2020,34.5,60.05,7.85,33.34,26.15,22.36,0.81,36.75,6.77,23.39,0,1.12,9790.96,89
14817,Logan,28-11-2018,69.89,164.51,3.73,31.6,38.17,,1.01,46.78,7.55,6.24,1.66,2.36,5088.96,148
14818,California,26-06-2018,35.67,62.79,5.23,10.53,15.1,2.49,1.44,32.04,10.74,0.14,,0.02,2093.96,69
14819,NewYork,30-01-2020,34.44,62.06,14.06,8.91,,25.24,0.52,20.83,9.52,1.67,10.65,2.13,13189.96,87
14820,Angol,18-09-2017,34.67,122.25,2.86,18.46,,17.99,0.99,16.05,8.49,0.19,,0,7640.96,121
14821,Chico,17-05-2020,25.58,,9.1,19.39,14.05,1.14,0.91,38.29,5.95,4.03,,1.49,16703.96,69
14822,Edinburg,08-10-2017,,,,,,,,,,,,,848.96,112
14823,Sandiago,07-10-2019,37.64,,32.2,25.4,41.12,35.64,1.02,19.32,6.18,0,,0.15,945.96,70
14824,Camden,10-01-2018,49.35,189.62,16.95,11.35,22.51,,0.89,60.36,8.23,0,,0,14640.96,177
14825,Padrelascasas,05-02-2019,58.42,115.7,8.78,23.07,23.4,4.43,0.44,52.21,12.45,,,0,17827.96,164
14826,Logan,20-12-2019,84.12,174.71,10.94,42.71,31.63,27.06,0.54,37.53,2.71,6.8,2.8,3.01,6941.96,216
14827,Carlsbad,17-08-2015,24.06,,3.22,13.14,12.39,55.8,11.84,12.64,2.41,19.35,,0.15,18412.96,84
14828,Modesto,22-10-2018,120.3,317.18,45.86,60.99,52.87,44.81,1.01,55.81,14.83,2.82,0.07,1.17,4935.96,316
14829,Edinburg,06-10-2015,,,26.26,25.59,63.98,,1.4,16.06,9.68,1.23,0.73,0.26,3983.96,112
14830,Edinburg,13-06-2016,111.58,,80.81,46.89,119.89,,2.19,18.2,2.06,1.47,0.84,0.23,15507.96,457
14831,Visalia,16-08-2019,33.13,87.16,12.04,28.14,37.6,12.48,0.88,15.89,13.32,12.82,2.67,7.32,12827.96,80
14832,NewYork,15-06-2020,12.4,25.42,15.38,11.49,27.1,2.24,0.57,20.18,5.9,1.94,7.94,4.99,15978.96,32
14833,NewYork,22-01-2019,78.61,145.29,17.13,12.16,36.35,27.86,0.47,36.65,11.1,3.78,2.35,4.29,8993.96,162
14834,Sandiago,22-04-2018,71.73,,12.12,6.78,12.32,27.33,1.43,40.11,4.45,4.22,,0,6341.96,117
14835,Coyhaique,20-07-2019,25.64,84.66,18.44,19.93,18.18,32.08,1.06,19.09,7.19,,,,15893.96,82
14836,Carlsbad,04-09-2020,45.4,106.55,4.46,24.9,17.15,10.76,0.89,47.89,3.68,1.09,,0.29,11662.96,104
14837,Angol,08-09-2019,27.09,39.71,3.98,19.46,19.97,11.53,0.5,27.65,8.58,2.51,,0.5,2512.96,140
14838,Mexico,03-12-2020,38.35,64.98,1.5,4.65,3.23,13.85,,19.2,11.84,0.21,,0,4161.96,84
14839,Logan,24-06-2018,31.17,121.29,3.86,30.75,22.12,48.6,1.1,24.2,3.13,7.15,3.14,4.89,13151.96,108
14840,Shreveport,18-09-2018,50.9,,28.2,78.85,44.27,,23.69,27.85,95.22,32.62,20.15,18.84,16758.96,437
14841,LosAngeles,04-04-2019,73.13,117.04,5.97,96.5,19.65,6.41,0.8,33.84,8.27,11.65,5.19,1.55,243.96,48
14842,Padrelascasas,06-11-2019,25.38,71.35,,,,7.5,0.38,39.88,4.4,,,0.26,2251.96,84
14843,Chico,23-08-2019,35.99,,5.97,30.15,22.5,25.47,1.28,23.03,6.99,6.71,,2.11,3527.96,66
14844,Nevada,12-10-2019,45.66,69.9,2.86,11.21,16.79,18.5,0.71,42.09,15.79,,,1.49,9218.96,79
14845,Modesto,02-09-2020,63.85,181.71,18.36,45.6,62.32,25.26,0.75,47.78,5.95,12.46,0.8,4.91,6424.96,182
14846,Carlsbad,18-03-2016,38.21,119.66,18.57,54.47,37.89,19.87,0.97,40,3.99,0,,0,12629.96,112
14847,LosAngeles,31-08-2019,25.11,31.93,6.92,26.74,23.24,37.23,0.4,18.59,3.54,,0.48,,17890.96,51
14848,LosAngeles,16-03-2020,55.83,128.75,5,55.87,35.14,11.95,1.02,42.37,9.59,18.22,10.38,9.03,3168.96,117
14849,Chico,09-10-2018,51.64,,8.1,31.23,18.17,32.01,1.18,13.15,7.53,3.12,,0.93,372.96,84
14850,Coyhaique,05-05-2019,23.43,103.2,0.95,13.79,8.42,,0.43,12.3,6.38,,,,6720.96,113
14851,Padrelascasas,15-09-2018,107.9,203.92,20.29,21.9,40.18,13.95,0.85,11.19,9.5,,,117.45,14856.96,239
14852,Nevada,23-05-2019,17.87,54.16,5.9,8.74,21.38,4.04,0.5,42.6,11.68,,,0.31,19266.96,56
14853,Sandiago,07-12-2016,61.58,,5.62,13.75,17.1,87.74,0.7,192.45,4.14,0.03,,0.04,19278.96,79
14854,LosAngeles,21-03-2015,44.42,,9.02,8.58,22.68,,0.96,24.78,2.8,,,,17709.96,207
14855,Mexico,05-11-2020,8.94,22.15,1.36,9.81,6.2,3.49,0.4,19.57,15.76,3.35,0.38,0.15,3859.96,38
14856,Chico,29-08-2018,31.74,,3.37,16.32,16.61,13.2,1.08,64.34,7.28,0.63,,0.13,17963.96,67
14857,Visalia,06-01-2018,26.69,58.21,8.04,18.84,27.09,12.6,0.33,17.38,2.97,6.79,1.39,8.42,4192.96,69
14858,Chico,28-04-2018,159.21,,24.48,49.63,37.3,33.91,1.6,44.53,7.82,0.5,,0.05,19257.96,300
14859,Carlsbad,13-08-2017,28.64,40.41,5.65,31.94,0,18.02,0.77,13.37,3.78,4.02,,1.65,3250.96,54
14860,Angol,11-01-2019,47.53,132.08,7.8,46.46,40.82,19.37,1.18,39.84,12.9,7.34,,1.58,19585.96,117
14861,Shreveport,11-08-2018,87.22,,9.89,20.09,22.3,,12.09,30.28,41.98,0,4.68,0.01,9316.96,314
14862,Sandiago,03-08-2016,71.16,,5.87,31.09,25.79,204.18,0.93,60.26,7.78,8.41,,2.68,11929.96,146
14863,Bakersfield,02-09-2015,,,,,23.8,,0,,,0,0,0,4295.96,112
14864,Shreveport,04-04-2020,24.84,43.48,1.96,12.76,7.34,,0.56,32.58,,14.54,2.12,5.45,16513.96,94
14865,Chico,01-02-2019,155.07,,12.58,56.36,40.57,30.92,1.18,32.84,10.42,2.48,,0.6,18019.96,339
14866,Camden,23-03-2018,83.95,142.79,13.89,24.81,21.09,,2.6,56.51,10.74,5.96,,2.01,14273.96,169
14867,Edinburg,07-12-2016,32.73,67.05,13.27,31.3,27.7,12.73,0.71,30.4,21.4,4.81,1.01,1.63,13893.96,94
14868,Coyhaique,02-10-2020,37.22,72.36,1.82,13.24,6.4,8.62,1.19,50.26,6.79,,,,8153.96,93
14869,Carlsbad,03-11-2020,56.33,134.85,2.67,15.58,13.57,22.99,0.84,39.9,6.59,11.23,,0.98,7651.96,142
14870,Chico,07-01-2018,38.05,,6.53,21.44,19.88,25.7,1.06,45.4,7.88,8.14,,13.8,13686.96,72
14871,Bakersfield,23-08-2016,7.94,38.63,25.28,16.3,40.24,20.2,0.25,26.46,10.73,,,1.15,7073.96,47
14872,LosAngeles,25-08-2019,36.66,77.64,6.09,11.89,16.13,8.31,1.14,25,6.96,3.42,0.9,2.46,370.96,93
14873,Mexico,03-12-2020,62.68,111.11,7.95,28.54,18.62,9.5,0.63,25.23,12.82,2.83,0.06,0.18,5884.96,111
14874,Chico,09-01-2019,82.41,,10.75,25.45,27.01,18.22,0.99,43.71,7.83,0.96,,0.17,18500.96,168
14875,Sandiago,01-03-2017,39.09,,7.38,15.07,11.18,,0,21.3,3.55,0.22,,0.04,15425.96,69
14876,Mexico,04-01-2020,25.53,50.38,3.87,4.77,4.37,55.91,1.18,39.76,15.99,0.67,0.1,0.1,18204.96,42
14877,LosAngeles,04-06-2015,214.71,,13.8,8.88,29.18,,0.99,25.96,6.73,1.89,0,0.2,13282.96,304
14878,NewYork,20-04-2018,25.38,85.25,26.98,9.61,22.42,26.77,0.06,5.27,5.67,3.85,5.57,6.65,17265.96,93
14879,Carlsbad,26-03-2015,50.07,,6.53,22.9,17.45,10.28,1.86,34.9,5.45,4.68,,21.55,11102.96,115
14880,Edinburg,15-09-2016,60.45,,12.31,13.28,29.34,,1.26,17.93,4.52,1.26,0.48,0.16,432.96,120
14881,Visalia,01-09-2018,93.68,219.85,6.3,52.94,64.39,30.35,1.48,59.02,8.64,35.92,8.94,25.21,3799.96,210
14882,Camden,15-08-2019,18.54,51.66,46.1,18.89,46.36,,0.7,32.62,,0.22,,0.02,13649.96,479
14883,Camden,29-06-2015,35.68,,2.62,7.69,4.94,,0.35,9.93,2.44,,,,6445.96,122
14884,Coyhaique,18-07-2019,22.27,40.2,4.77,5.12,,1.73,0.65,24.73,11.7,,,,11675.96,62
14885,Angol,27-03-2016,76.54,150.13,14.45,62.73,48.06,17.37,0.92,36.33,9.67,5.97,,1.37,13666.96,234
14886,Edinburg,06-11-2018,35.03,,19.6,10.9,20.51,,1.64,40.26,7.57,2.15,1.33,0.15,17975.96,112
14887,LosAngeles,01-05-2019,61.65,141.39,5.89,62.02,33.36,16.92,0.63,30,8.64,13.05,4.51,3.11,5239.96,110
14888,Mexico,20-03-2019,62.94,175.81,3.67,37.81,28.44,14.44,0.82,36.61,22.05,0.13,0.2,0.06,14931.96,175
14889,Chico,01-01-2017,106.88,,10.31,35.51,,,0.84,36.34,6.26,1.79,,0,18260.96,221
14890,Modesto,23-12-2017,180.99,343.22,45.46,81.24,115.97,31.2,2.49,62.74,15.75,32.16,1.25,4.85,2654.96,378
14891,Nevada,29-01-2020,49.26,112.66,28.34,18.47,75.39,40.61,0.77,20.89,10.42,,,3.94,7392.96,124
14892,Carlsbad,08-02-2018,39.36,109.76,4.73,36.89,32.05,19.99,0.95,18.99,6.5,0.53,,0.25,12264.96,95
14893,Visalia,24-06-2018,18.45,19.22,3.44,37.78,26.22,,0.85,24.83,6.68,7.24,,3.41,13236.96,61
14894,Sandiago,27-08-2016,66.05,,14,16.6,10.06,,0,9.14,4.37,0.06,,0.03,14314.96,112
14895,Chico,19-02-2019,218.26,,31,70.93,51.61,59.3,1.32,34.06,13.51,2.68,,3.87,4212.96,486
14896,Modesto,12-03-2019,148.15,411.84,56.28,45.85,115.01,37.07,1.61,27.14,13.49,37.19,0.94,5.57,367.96,365
14897,Modesto,07-09-2018,79.22,149.42,42.51,71.82,84.12,32.06,1.08,31.99,10.86,22.14,0.62,3.83,13694.96,162
14898,Edinburg,01-11-2018,132.87,,14.66,73.3,43.92,,2.69,43.43,38.03,30.1,14.63,4.14,3436.96,346
14899,Edinburg,21-03-2017,232.48,,18.42,30.5,44.81,,2.28,19.81,7.39,0.8,0.46,0.1,12448.96,375
14900,Padrelascasas,27-01-2017,162.96,351.18,37.36,34.62,54.5,33.49,3.49,25,13.75,,,0,18980.96,304
14901,Logan,18-06-2019,71.17,82.59,3.79,33.85,18.17,8.23,0.75,31.68,11.97,6.21,2.68,3.04,7623.96,111
14902,California,24-12-2017,,,8.49,11.78,19.87,14.4,1.01,,10.58,0,,0,10130.96,112
14903,LosAngeles,03-01-2016,62.65,122.29,3.94,38.73,19.94,15.53,0.7,41.67,10.8,10.75,2.53,2.06,16359.96,147
14904,Sandiago,27-08-2015,37.62,,26.52,14.89,30.89,10.04,0.8,34.26,14.43,4.36,,2.06,6117.96,126
14905,LosAngeles,12-07-2015,67.11,114.12,15.92,55.87,39.53,211.14,0.81,24.38,2.66,7.65,0.21,1.09,6119.96,164
14906,NewYork,21-08-2017,26.61,53.24,18.23,14.51,,17.78,0,29.38,3.76,,,5.34,2893.96,67
14907,LosAngeles,24-02-2019,21.23,49.58,3.95,27.28,14.34,14.75,0.49,42.27,6.5,5.08,3.08,0.61,7315.96,82
14908,Angol,17-04-2019,55.47,113.18,9.78,21.78,28.4,46.42,0.99,31.4,12.93,3.06,,0.74,14223.96,123
14909,LosAngeles,01-08-2017,34.26,,6.93,8.52,19.97,,0.62,13.94,9.99,3.45,1.5,0.43,239.96,70
14910,Carlsbad,12-03-2019,93.48,111.72,23.54,36.65,60.47,13.85,1.08,32.17,10.55,2.09,,0.82,13912.96,106
14911,LosAngeles,07-11-2018,26.91,67.51,10.64,32.12,23.5,17.59,0.39,37.41,8.15,10.47,0.3,2.06,7128.96,56
14912,Bakersfield,15-11-2019,85.87,189.32,16.27,7.54,23.23,,0.38,38.13,18.1,,,6.69,19432.96,302
14913,Medellin,18-10-2019,80.69,132.39,14.17,15.63,27.47,6.19,5.06,10.9,97.34,0,,0.11,542.96,211
14914,Logan,27-03-2018,51.02,97.78,4.39,29.01,13.66,11.93,0.66,54.29,5.02,7.84,2.26,5.16,6947.96,106
14915,Redding,30-10-2018,20.5,45.61,7.54,10.25,8.5,26.19,0.79,16.8,15.85,2.64,1.5,22.23,10917.96,57
14916,Carlsbad,10-03-2018,49.64,112.01,12.6,51.35,46.52,17.35,0.96,27.26,7.81,2.32,,0.43,1459.96,123
14917,Coyhaique,10-06-2019,10.77,23.36,2.81,5.54,4.66,1.91,0.92,27.1,5.48,,,,13956.96,48
14918,Sandiago,08-12-2017,31.51,,6.12,11.81,15.12,,0,27.95,2.04,0.02,,0.01,12059.96,82
14919,Modesto,01-08-2020,67.22,148.1,104.9,93.21,73.43,17.77,0.31,26.15,14.99,2.39,,1.65,18287.96,146
14920,Camden,03-03-2017,83.8,,13.34,21.42,,,3.77,10.77,2.99,6,,2.01,4648.96,112
14921,Carlsbad,12-05-2019,63.04,125.76,12.72,44.78,0,,0.44,13.56,5,0.62,,0.63,362.96,112
14922,Dallas,26-10-2017,,3.67,0.63,0.19,0.18,1.02,1.24,8.54,3.51,0.29,0.01,0.11,12837.96,112
14923,Sandiago,25-03-2016,58.38,,9.83,22.8,17.69,77.28,0.79,29.69,12.13,0.89,,0.16,2086.96,134
14924,Modesto,02-02-2019,69.99,183.01,19.86,56.31,60.03,42.78,1.47,42.24,24.77,8.91,,2.36,12369.96,263
14925,Carlsbad,29-01-2019,89.33,,56.67,60.84,94.31,19.19,1.05,31.39,5.67,1.43,,0.73,18976.96,275
14926,Carlsbad,03-12-2016,66.12,,9.97,22.12,22.64,3.11,1.75,12.54,2.62,12.43,,,6932.96,117
14927,Edinburg,11-02-2019,160.07,,13.32,3.37,11.64,,3.11,34.22,2.15,0.87,0.42,0.2,14008.96,379
14928,LosAngeles,25-02-2020,65.91,120.59,4.84,67.37,29.39,19.83,0.66,31.22,34.51,10.01,16.04,1.61,19286.96,124
14929,Carlsbad,01-04-2018,58.89,116.83,5.52,29.89,29.32,18.39,0.93,44.32,5.13,2.39,,0.88,4451.96,106
14930,Medellin,06-04-2019,10.21,42.05,21.53,4.93,26.14,8.73,1.11,16.31,5.95,,,0,7820.96,117
14931,NewYork,02-04-2020,25.27,48.2,11.06,20,25.99,16.11,0.35,48.45,12.47,1.1,8.82,1.3,3347.96,67
14932,Edinburg,28-05-2016,,,11.54,12.65,24.12,,2.85,36.14,11.61,2.4,0.81,0.88,18467.96,112
14933,Bakersfield,02-04-2016,,,,,23.45,,0,,,0,0,0,14737.96,112
14934,Carlsbad,18-10-2018,27.43,59.77,8.28,10.56,16.14,18.55,0.75,17.86,3.65,1.41,,0.62,11037.96,80
14935,Chico,,158.22,,18.22,52.2,49.43,,0.41,26.28,6.81,0.11,,0.15,2514.96,308
14936,Medellin,15-06-2019,19.86,96.27,75.54,5.41,33.05,13.89,2.27,44.91,25.56,,,0,12842.96,105
14937,Bakersfield,26-07-2018,7.08,83.63,35.75,6.69,37.71,18.32,0.59,31.91,12.66,,,4.77,3004.96,80
14938,Sandiago,16-11-2018,25.75,,15.73,14.5,20.28,85.76,0.7,12.8,13.19,3.05,,0.01,1181.96,123
14939,Carlsbad,20-08-2015,53.54,,3.96,19.22,12.38,25.91,9.09,20.26,1.13,4.27,,,9926.96,178
14940,Carlsbad,20-01-2020,30.06,115,8.03,47.57,28.35,,0.82,39.89,1.64,1.65,,2.69,14929.96,92
14941,Carlsbad,25-04-2019,31.36,110.9,6.85,17.71,20.59,21.62,0.99,61.46,3.86,1.43,,0.3,6703.96,125
14942,Chico,01-06-2017,181.31,,14.03,26.25,,,2.46,21.27,5.44,2.7,,1.63,17613.96,348
14943,Chico,06-10-2018,85.93,,11.28,28.33,23,33.77,0.96,56.44,6.66,0.86,,0.29,2780.96,197
14944,Mexico,28-10-2015,29.17,85.76,3.67,24.89,12.5,17.91,0.45,27.95,17.85,1.2,0.27,0.29,15042.96,81
14945,Edinburg,07-03-2015,,,5.97,19.25,31.41,,1.3,5.14,6.35,0.52,0.07,0.04,7452.96,112
14946,Edinburg,09-06-2019,30.69,,13.02,35.3,23.74,,0.5,22.98,42.71,29.26,8.23,2.55,9726.96,63
14947,Edinburg,07-04-2018,34.11,,23.66,94.27,39.52,,0.96,0.6,24.54,31.96,12,2.31,16138.96,129
14948,Redding,06-12-2019,75.24,191.87,38.12,22.45,38.37,8.99,0.74,42.31,8.89,2.99,1.36,4.81,10497.96,172
14949,Sandiago,01-01-2020,60.4,,8.27,13.44,18.45,22.4,0.9,43.39,3.26,4.43,,0.77,17344.96,132
14950,Nevada,20-03-2018,80.6,126.71,0.52,10.69,7.4,16.66,0.4,17.03,11.97,,,0,3313.96,168
14951,LosAngeles,08-12-2017,72.47,158.22,5.58,46.72,5.23,6.63,0.23,36.99,36.2,0.71,0.05,0.04,17548.96,123
14952,Camden,23-04-2018,92.16,,19.55,15.11,24.1,,1.3,63.18,11.77,,,0.45,12659.96,226
