City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2020-06-09,16.93,37.34,5.56,15.88,17.66,39.87,0.9,5.84,29.29,0.27,1.72,,56.0,Satisfactory
Lucknow,2015-10-08,46.68,,11.35,31.54,27.9,12.4,0.89,9.63,24.38,0.47,1.29,,86.0,Satisfactory
Bengaluru,2017-08-06,28.48,98.49,15.07,31.05,0.0,23.22,1.06,7.21,27.0,0.65,1.26,,73.0,Satisfactory
Bengaluru,2018-08-23,40.62,85.04,18.46,37.03,38.29,16.17,0.64,5.51,13.05,0.59,3.04,,85.0,Satisfactory
Amaravati,2020-01-07,39.8,74.72,10.22,26.06,26.45,12.84,0.79,19.23,40.02,0.17,0.99,0.1,66.0,Satisfactory
Amritsar,2016-05-24,28.01,66.42,12.64,17.89,,20.68,0.34,6.88,20.76,1.47,6.71,16.72,58.0,Satisfactory
Amaravati,2018-04-15,43.02,111.55,9.29,20.27,19.95,11.91,0.73,22.79,17.17,0.16,1.85,0.16,128.0,Moderate
Hyderabad,2017-03-10,56.09,93.24,6.76,10.61,18.29,12.13,0.9,6.66,26.38,1.54,7.17,1.0,93.0,Satisfactory
Hyderabad,2020-01-19,29.78,43.14,6.74,23.64,19.38,16.1,0.34,5.94,28.37,0.44,3.82,0.29,74.0,Satisfactory
Kolkata,2018-05-19,17.36,53.3,2.53,10.48,14.11,14.69,0.47,7.23,27.88,12.67,20.03,2.77,51.0,Satisfactory
Ahmedabad,2019-02-19,56.89,122.26,23.31,32.58,38.73,,21.71,44.85,35.89,3.59,37.28,0.9,359.0,Very Poor
Amaravati,2018-03-15,8.6,17.69,2.29,10.08,3.98,7.39,0.81,10.17,17.21,0.02,0.49,0.1,86.0,Satisfactory
Delhi,2017-11-27,128.83,289.1,53.61,22.95,95.11,39.12,7.21,8.9,62.18,7.02,16.21,,384.0,Very Poor
Visakhapatnam,2016-07-26,20.09,87.32,21.55,29.08,28.88,12.91,0.5,7.75,24.57,2.55,12.84,1.24,96.0,Satisfactory
Visakhapatnam,2020-06-08,16.61,51.11,18.84,29.98,18.14,9.84,0.51,15.82,24.23,3.49,10.67,3.3,58.0,Satisfactory
Talcher,2017-12-13,,,,,,,,,,,,,,
Hyderabad,2019-07-04,26.3,68.27,5.11,20.57,14.03,11.71,0.31,5.13,26.79,0.67,2.66,0.44,63.0,Satisfactory
Jorapokhar,2017-06-27,,,,,,,,,,,,,,
Jorapokhar,2017-05-03,,,,,,,,,,,,,,
Mumbai,2016-08-01,,,,,18.77,,0.0,,,,,,,
Ahmedabad,2015-11-07,,,,,,,,,,,,,,
Mumbai,2017-10-12,,,,,,104.81,0.0,,37.46,,,,,
Mumbai,2015-01-12,,,,,30.79,,0.0,,,0.0,0.0,0.0,,
Talcher,2020-01-28,,,8.86,11.19,18.27,11.37,1.48,2.11,14.89,,,,,
Visakhapatnam,2017-07-24,,,,,,21.16,,,,,,,,
Jorapokhar,2019-09-28,,228.73,2.17,4.46,,7.38,0.0,27.49,13.71,,,,,
Gurugram,2016-07-08,,,3.21,6.74,4.45,,0.45,1.92,16.49,,,,,
Patna,2015-09-12,,,40.86,24.67,56.04,,1.53,6.03,13.65,0.1,0.67,0.2,,
Hyderabad,2015-11-07,,,9.91,32.07,30.51,,0.38,8.09,26.86,0.0,0.0,,,
Visakhapatnam,2019-07-20,,,,,0.0,11.74,0.0,,34.04,0.0,0.0,0.0,220.0,Poor
Patna,2015-06-09,,,13.83,8.69,26.79,,0.56,2.08,32.2,0.17,0.66,0.18,,
Gurugram,2015-10-14,587.48,,50.78,20.7,,,1.09,7.72,13.62,0.02,0.89,,,
Jorapokhar,2019-04-21,135.6,196.34,11.81,7.74,,56.23,0.8,33.35,7.99,,,,230.0,Poor
Hyderabad,2015-05-25,40.46,,11.8,13.56,25.06,,0.54,6.39,32.15,,,,124.0,Moderate
Amaravati,2019-09-05,18.4,27.81,2.13,7.11,6.01,3.82,0.78,,17.99,,,,40.0,Good
Patna,2018-10-25,136.29,,35.38,20.22,24.66,,2.29,47.95,46.69,1.07,6.72,4.87,295.0,Poor
Gurugram,2019-12-09,68.91,86.52,7.65,26.09,28.62,,2.65,0.56,28.71,2.0,5.97,,212.0,Poor
Thiruvananthapuram,2017-11-01,14.79,30.28,3.83,4.52,5.94,3.88,0.91,3.95,19.8,,,,,
Chennai,2016-06-06,31.42,,1.84,7.49,7.62,,0.02,3.95,32.87,0.03,0.02,,104.0,Moderate
Bhopal,2018-07-26,20.04,33.54,0.64,11.65,3.94,2.23,0.43,10.25,16.53,,,,43.0,Good
Lucknow,2018-01-28,238.36,,22.91,71.61,61.39,65.8,0.4,11.49,36.72,0.0,0.0,,236.0,Poor
Patna,2018-09-16,90.02,,3.65,3.99,3.33,,1.86,47.63,44.88,1.18,9.33,5.74,205.0,Poor
Brajrajnagar,2019-05-12,62.94,73.16,14.56,18.86,28.09,12.9,1.3,12.92,12.04,5.03,,,108.0,Moderate
Talcher,2018-05-22,52.22,118.42,14.3,15.37,26.13,5.46,1.13,30.02,21.94,0.0,,,149.0,Moderate
Bengaluru,2018-11-17,44.0,115.9,6.19,32.46,35.09,,0.95,7.58,55.53,0.52,0.4,,116.0,Moderate
Mumbai,2019-09-07,14.5,36.96,29.3,27.76,65.68,11.55,0.74,12.51,15.95,2.92,,,54.0,Satisfactory
Hyderabad,2016-03-05,69.01,,20.06,58.54,57.11,,1.65,3.91,33.16,2.57,6.17,1.7,254.0,Poor
Chennai,2020-01-05,39.06,,8.6,19.45,26.65,16.41,0.56,18.55,57.79,1.21,3.0,,74.0,Satisfactory
Guwahati,2019-01-30,53.26,107.43,3.31,7.67,13.86,9.81,0.48,15.69,49.64,0.0,,,108.0,Moderate
Gurugram,2017-06-04,31.98,,2.34,5.21,4.22,,0.44,4.53,13.75,,,,55.0,Satisfactory
Amritsar,2017-05-13,38.4,96.76,11.15,36.09,,20.32,1.33,36.3,11.13,,12.17,,95.0,Satisfactory
Bengaluru,2018-08-05,57.84,84.08,20.2,24.56,47.38,15.73,0.91,6.01,23.22,0.82,3.55,,126.0,Moderate
Shillong,2020-04-03,8.28,9.4,1.56,3.51,3.14,10.9,0.22,5.04,27.65,0.36,0.15,,14.0,Good
Ahmedabad,2015-09-23,32.29,,7.63,18.35,32.02,,6.67,38.3,15.33,1.2,3.19,4.97,104.0,Moderate
Ahmedabad,2018-04-22,42.88,,5.29,29.08,21.21,,5.07,29.05,,43.37,13.2,5.0,491.0,Severe
Lucknow,2016-10-27,124.07,,14.28,29.16,,,2.11,12.16,43.03,3.05,8.43,,335.0,Very Poor
Ahmedabad,2015-04-29,36.39,,7.61,12.17,23.27,,10.22,13.15,40.9,1.08,5.29,0.36,153.0,Moderate
Lucknow,2019-05-23,99.29,,8.64,21.59,22.4,23.87,1.28,5.49,42.02,1.42,1.68,,221.0,Poor
Hyderabad,2020-01-08,71.3,132.61,7.81,12.12,19.5,32.75,1.1,9.57,21.57,1.47,5.84,0.88,112.0,Moderate
Mumbai,2018-12-18,69.7,226.99,,,,6.42,2.34,,18.54,0.0,0.0,0.0,183.0,Moderate
Jorapokhar,2019-10-09,,94.95,7.97,6.83,,7.6,0.44,13.0,9.39,,,,102.0,Moderate
Gurugram,2018-08-26,48.98,,6.74,22.74,17.41,,1.26,4.43,15.59,0.0,,,106.0,Moderate
Gurugram,2020-02-26,56.21,167.0,19.39,26.81,27.54,,0.65,8.8,45.18,0.0,0.0,,156.0,Moderate
Lucknow,2015-08-06,31.66,,2.68,9.58,6.24,,0.36,10.1,14.84,0.0,0.0,,140.0,Moderate
Delhi,2016-10-22,89.29,,22.15,24.83,5.31,,0.0,,44.2,0.16,0.0,,215.0,Poor
Lucknow,2017-02-26,130.88,,11.55,20.91,,,2.05,3.47,17.97,,,,236.0,Poor
Gurugram,2016-12-14,89.09,,8.96,17.86,30.16,,0.66,0.91,16.4,,,,318.0,Very Poor
Jorapokhar,2019-02-21,134.81,228.99,9.41,10.1,,7.87,,24.4,21.71,,,,301.0,Very Poor
Gurugram,2020-03-25,51.32,91.2,2.68,7.92,5.31,,0.38,4.8,61.32,0.11,,,123.0,Moderate
Jorapokhar,2019-03-19,,182.25,7.42,8.24,,6.76,0.41,30.77,28.31,,,,117.0,Moderate
Brajrajnagar,2020-06-05,72.01,96.0,34.43,35.02,44.87,9.4,3.05,13.82,1.35,4.3,,,125.0,Moderate
Guwahati,2019-10-17,52.45,103.2,16.41,11.75,35.04,15.48,0.41,14.58,37.88,0.0,,,102.0,Moderate
Jaipur,2017-04-18,17.88,51.53,26.86,75.24,52.8,8.54,1.45,12.1,40.82,1.48,14.86,,102.0,Moderate
Chennai,2015-05-05,57.17,,5.57,7.94,15.76,31.32,1.09,5.91,33.61,0.0,2.64,,140.0,Moderate
Gurugram,2019-11-14,123.11,181.26,48.32,42.01,77.32,,1.04,13.84,8.71,1.99,5.98,,326.0,Very Poor
Visakhapatnam,2020-01-03,64.85,109.66,25.4,62.9,84.51,16.91,1.48,14.84,22.36,7.29,16.95,5.51,164.0,Moderate
Chennai,2017-04-06,46.26,,8.91,13.05,18.66,23.23,0.75,2.28,29.24,0.15,0.26,,81.0,Satisfactory
Thiruvananthapuram,2019-07-24,20.25,43.43,5.81,10.97,17.12,29.15,1.34,8.29,23.46,,,,114.0,Moderate
Ahmedabad,2019-10-01,102.24,,46.49,89.08,67.91,,47.57,51.58,47.66,2.14,32.05,0.52,897.0,Severe
Talcher,2018-07-22,45.53,121.92,28.8,7.07,30.92,6.2,0.91,24.21,13.37,0.0,,,107.0,Moderate
Chennai,2016-06-24,40.15,,4.04,11.83,13.29,,1.02,2.57,16.95,1.04,1.44,,157.0,Moderate
Guwahati,2019-12-13,20.66,40.37,5.92,10.66,19.32,13.03,0.57,11.18,28.7,0.33,,,46.0,Good
Chennai,2016-05-17,49.09,,6.5,12.8,15.21,,0.13,2.13,49.01,6.15,0.95,,123.0,Moderate
Gurugram,2016-11-02,435.9,,60.1,51.04,61.8,,0.48,3.06,19.22,0.03,1.95,,656.0,Severe
Thiruvananthapuram,2018-10-24,58.16,114.19,1.24,3.32,4.44,14.56,0.63,1.09,66.86,,,,114.0,Moderate
Bengaluru,2018-08-20,14.95,46.63,4.64,15.55,18.51,19.72,0.26,1.47,29.71,0.38,1.44,,51.0,Satisfactory
Amritsar,2017-07-29,43.09,103.84,13.86,5.94,16.29,11.23,0.52,,4.75,1.14,0.89,10.05,105.0,Moderate
Thiruvananthapuram,2020-06-21,44.5,80.32,0.91,3.79,4.2,,1.29,2.71,46.08,,,,77.0,Satisfactory
Coimbatore,2019-03-02,38.4,56.84,9.96,5.32,11.98,10.39,1.44,8.77,23.56,0.03,0.03,,81.0,Satisfactory
Gurugram,2016-12-25,133.88,,6.37,17.29,,,0.84,7.22,23.43,0.03,3.45,,335.0,Very Poor
Brajrajnagar,2018-05-10,21.55,44.19,3.79,7.32,14.88,10.27,2.98,15.78,45.5,0.0,,,192.0,Moderate
Brajrajnagar,2020-01-23,112.03,192.22,34.51,13.78,38.67,37.26,0.23,11.67,15.15,0.04,,,229.0,Poor
Lucknow,2018-03-29,89.16,,10.66,26.31,23.26,34.22,0.77,12.5,64.38,0.05,0.11,,230.0,Poor
Bengaluru,2015-03-25,59.8,,6.76,5.32,5.62,2.68,2.76,6.1,31.81,6.85,10.31,,156.0,Moderate
Ahmedabad,2015-12-13,97.89,,28.68,39.51,35.3,,38.18,39.6,36.42,4.13,32.46,7.02,477.0,Severe
Bengaluru,2019-06-05,37.84,72.24,10.14,27.79,16.5,15.5,0.62,5.31,29.25,0.66,1.25,,83.0,Satisfactory
Hyderabad,2019-06-26,28.44,40.41,2.96,38.13,12.73,19.62,1.21,4.9,33.14,3.58,16.23,3.99,56.0,Satisfactory
Ahmedabad,2020-01-07,181.63,,11.02,76.47,39.34,,17.8,63.06,14.87,3.87,21.26,6.16,375.0,Very Poor
Amritsar,2020-01-06,57.31,99.11,18.94,29.04,37.06,23.78,0.6,11.02,,5.16,2.17,1.59,138.0,Moderate
Bengaluru,2016-10-10,42.57,102.55,19.12,26.94,33.06,15.5,0.54,0.62,45.46,0.35,1.0,,122.0,Moderate
Jorapokhar,2017-10-01,118.97,6.1,9.42,9.95,,6.5,,35.76,3.16,,,,60.0,Satisfactory
Amaravati,2019-02-14,65.28,120.21,2.97,10.47,10.74,16.16,0.49,8.7,34.4,0.35,0.4,0.1,114.0,Moderate
Delhi,2016-08-29,56.28,181.46,9.49,36.21,32.51,,0.89,11.49,13.26,2.29,5.93,0.0,229.0,Poor
Thiruvananthapuram,2019-09-05,21.4,45.24,1.07,3.44,2.79,1.38,0.76,4.01,20.88,,,,43.0,Good
Gurugram,2019-07-20,26.24,63.59,15.33,12.47,23.63,,0.46,2.71,6.66,3.58,,,117.0,Moderate
Talcher,2019-02-24,61.81,133.76,11.26,21.32,15.97,17.85,1.17,30.6,22.94,0.0,,,108.0,Moderate
Gurugram,2016-03-18,168.91,,2.23,6.9,,,0.83,6.99,50.36,0.03,3.29,,325.0,Very Poor
Delhi,2020-02-16,38.83,188.3,10.3,62.66,42.86,22.95,1.21,20.07,23.49,3.2,6.07,0.0,236.0,Poor
Guwahati,2020-01-16,84.56,118.79,29.84,11.38,52.84,6.69,1.11,15.7,7.52,0.16,,,133.0,Moderate
Thiruvananthapuram,2019-03-04,19.28,58.5,0.81,4.97,3.84,15.2,1.19,4.92,29.66,,,,66.0,Satisfactory
Visakhapatnam,2020-03-25,49.92,103.24,4.47,43.97,24.66,51.99,0.63,9.73,51.09,5.73,13.58,4.09,120.0,Moderate
Amaravati,2017-03-27,38.32,57.82,1.74,19.81,10.93,1.66,0.67,12.59,30.13,0.81,3.92,0.19,69.0,Satisfactory
Kolkata,2020-02-01,229.6,396.9,238.38,71.79,141.23,25.66,1.2,16.69,14.21,27.85,47.66,3.87,398.0,Very Poor
Visakhapatnam,2018-03-21,57.89,115.49,5.8,26.15,20.98,26.69,0.79,15.81,54.22,3.29,7.29,3.06,117.0,Moderate
Brajrajnagar,2018-11-28,67.38,181.66,1.66,,0.06,68.01,5.67,4.37,32.74,0.0,,,160.0,Moderate
Kochi,2019-07-08,18.75,27.14,61.4,4.68,63.28,7.89,1.38,18.6,0.22,,0.0,,78.0,Satisfactory
Kochi,2018-07-29,24.4,53.72,38.66,8.0,57.85,30.16,1.06,16.88,22.41,,0.0,,66.0,Satisfactory
Patna,2015-12-27,226.0,,24.85,26.35,27.03,,1.4,46.14,48.74,1.82,6.13,5.74,444.0,Severe
Chennai,2015-05-19,41.05,,8.07,19.55,26.98,38.82,0.74,15.95,36.27,0.0,2.39,,120.0,Moderate
Guwahati,2019-06-17,71.72,151.37,24.39,23.82,88.26,5.04,0.76,20.14,1.71,0.0,,,129.0,Moderate
Chennai,2015-10-02,84.35,,7.25,12.34,7.51,79.56,0.52,6.01,29.95,0.02,0.07,,154.0,Moderate
Delhi,2019-08-24,47.57,104.57,25.93,29.77,48.9,88.22,1.17,9.89,13.03,3.64,9.86,,126.0,Moderate
Delhi,2020-03-28,58.92,147.02,11.67,47.94,40.21,,0.88,9.87,39.81,2.34,30.83,0.85,138.0,Moderate
Hyderabad,2020-03-25,23.76,84.48,2.5,18.59,13.33,12.36,0.34,3.65,46.94,0.46,3.48,0.99,60.0,Satisfactory
Thiruvananthapuram,2018-04-21,13.95,39.21,1.98,13.84,9.57,4.02,0.93,5.57,32.94,,,,60.0,Satisfactory
Thiruvananthapuram,2018-09-10,17.24,29.49,1.37,4.31,3.61,28.98,0.93,1.91,34.79,,,,70.0,Satisfactory
Hyderabad,2020-06-16,22.68,53.43,3.47,31.08,22.16,35.03,0.41,2.57,54.21,0.39,2.55,0.14,62.0,Satisfactory
Hyderabad,2020-02-09,21.11,50.2,2.34,22.68,15.74,48.49,0.68,2.46,18.93,0.54,3.65,0.35,53.0,Satisfactory
Jaipur,2019-07-10,31.63,108.04,15.06,25.95,40.9,10.82,0.81,11.23,20.64,0.51,2.79,,104.0,Moderate
Hyderabad,2016-09-26,54.93,,8.64,11.03,16.49,,1.05,6.71,10.01,0.59,3.62,0.48,113.0,Moderate
Amaravati,2016-02-24,77.74,108.76,7.91,26.22,21.34,12.61,0.68,9.93,59.76,0.02,0.01,,230.0,Poor
Chennai,2017-08-01,33.16,,5.86,13.27,18.25,,0.68,5.69,12.52,0.41,0.04,,82.0,Satisfactory
Gurugram,2018-11-28,61.89,116.97,4.76,8.7,12.4,7.54,0.51,4.17,12.24,2.0,6.01,,137.0,Moderate
Lucknow,2017-12-19,115.65,,13.52,60.47,37.83,32.86,0.42,12.98,31.48,0.02,0.02,,239.0,Poor
Jaipur,2019-12-17,78.27,158.24,30.47,40.42,62.62,28.27,1.19,14.69,24.69,3.82,23.83,,193.0,Moderate
Hyderabad,2019-12-21,56.61,119.7,7.03,51.58,31.77,22.47,0.83,7.75,24.31,2.03,13.47,1.51,112.0,Moderate
Bengaluru,2020-01-26,36.98,15.31,9.74,22.23,14.51,18.77,0.4,3.67,65.32,0.69,0.35,,129.0,Moderate
Lucknow,2020-03-22,28.08,,8.01,13.11,13.96,34.82,0.66,4.28,42.3,0.11,1.16,,103.0,Moderate
Visakhapatnam,2020-04-19,22.6,44.25,,21.52,,,0.39,7.78,30.15,3.85,10.06,1.18,81.0,Satisfactory
Chennai,2018-10-28,68.74,,5.67,19.8,13.73,114.96,1.15,10.64,29.25,1.23,0.81,,92.0,Satisfactory
Bengaluru,2015-03-24,35.83,,18.38,29.61,31.81,28.07,1.15,7.34,44.02,1.16,0.74,,112.0,Moderate
Delhi,2018-10-03,90.18,205.02,30.11,35.86,47.29,29.96,1.01,19.51,32.97,3.17,34.44,2.49,215.0,Poor
Bengaluru,2018-05-14,37.74,265.18,5.7,47.69,17.9,,0.78,2.39,26.99,0.62,1.58,,86.0,Satisfactory
Visakhapatnam,2018-05-07,138.46,134.84,30.18,52.72,48.37,12.69,0.88,18.9,41.48,6.98,17.35,3.73,135.0,Moderate
Amaravati,2018-11-12,64.02,97.71,4.03,15.71,12.3,9.01,0.89,34.05,24.08,0.11,0.94,0.15,139.0,Moderate
Kolkata,2018-12-30,87.28,194.59,69.31,72.5,125.73,68.08,1.33,10.47,24.02,11.36,22.65,2.84,183.0,Moderate
Amritsar,2017-04-04,,81.33,11.76,9.05,18.9,15.72,0.0,4.69,16.24,1.5,0.16,6.04,100.0,Satisfactory
Gurugram,2016-07-29,33.26,,1.97,33.47,,,0.56,7.39,8.56,0.03,3.37,,93.0,Satisfactory
Shillong,2020-06-24,9.01,22.39,0.73,2.34,1.02,3.76,0.4,9.46,27.41,0.5,0.07,,38.0,Good
Amritsar,2016-01-22,41.38,154.06,21.22,27.0,50.76,16.47,0.3,16.08,27.93,6.5,1.1,8.72,124.0,Moderate
Thiruvananthapuram,2019-08-11,14.85,43.41,1.69,2.91,4.17,10.52,0.51,3.4,19.3,,,,44.0,Good
Jaipur,2019-02-07,58.95,138.27,7.65,14.41,18.49,35.76,0.92,11.38,43.09,1.15,10.22,,135.0,Moderate
Jaipur,2018-04-20,57.6,142.75,13.75,23.97,30.73,9.85,0.88,14.05,15.63,1.17,6.23,,113.0,Moderate
Ahmedabad,2019-04-26,33.26,,5.56,11.64,19.45,,5.61,48.93,34.5,4.67,25.17,3.8,128.0,Moderate
Shillong,2016-02-10,42.96,140.09,1.06,2.73,0.91,11.5,0.19,11.86,43.95,0.17,0.66,,131.0,Moderate
Chennai,2016-10-31,24.71,,6.92,21.26,16.2,63.87,0.94,7.65,30.39,0.03,2.58,,70.0,Satisfactory
Gurugram,2019-04-10,59.43,160.85,8.91,24.96,23.94,,0.82,6.22,19.22,2.01,5.54,,131.0,Moderate
Ahmedabad,2019-11-06,50.97,,4.65,55.44,38.87,,6.99,42.32,60.37,2.63,8.49,1.5,318.0,Very Poor
Amaravati,2020-02-10,45.72,13.15,3.08,16.85,17.48,9.42,0.88,13.74,22.48,0.1,1.06,0.13,133.0,Moderate
Chennai,2020-02-18,50.05,89.85,8.87,14.75,20.13,10.15,0.86,7.74,45.19,0.12,0.38,,79.0,Satisfactory
Delhi,2019-09-20,25.79,77.62,6.48,14.81,15.18,13.43,0.44,12.19,42.47,1.64,3.83,0.0,96.0,Satisfactory
Bengaluru,2019-10-22,12.75,50.36,22.85,17.17,32.59,6.51,0.8,5.14,21.37,0.79,3.14,,67.0,Satisfactory
Hyderabad,2019-01-31,118.17,484.92,22.84,0.05,14.26,7.51,1.4,12.77,13.11,1.22,7.98,3.94,259.0,Poor
Amritsar,2018-06-12,84.85,187.81,48.08,32.48,113.86,12.51,2.85,6.61,18.01,7.93,11.71,12.99,222.0,Poor
Thiruvananthapuram,2020-02-02,61.95,181.4,5.23,8.19,6.99,11.18,2.6,5.78,37.5,,,,145.0,Moderate
Delhi,2015-11-15,98.06,512.7,53.15,62.67,78.46,4.96,1.27,15.2,15.44,5.88,6.49,,697.0,Severe
Hyderabad,2020-03-04,19.04,37.24,3.15,11.64,8.74,11.3,0.16,3.11,25.58,0.13,0.58,6.18,42.0,Good
Bengaluru,2018-09-01,18.92,38.69,9.27,19.81,11.89,12.61,0.6,4.34,22.54,0.53,1.51,,62.0,Satisfactory
Hyderabad,2017-10-13,50.63,72.46,3.04,38.4,18.81,15.3,0.89,7.12,40.92,2.89,14.41,6.72,81.0,Satisfactory
Kolkata,2016-10-04,43.48,62.44,30.78,46.72,71.52,10.97,0.99,9.94,43.26,5.45,19.3,2.18,88.0,Satisfactory
Thiruvananthapuram,2019-10-07,26.53,67.23,3.02,7.02,6.29,3.07,0.59,2.63,9.79,,,,74.0,Satisfactory
Thiruvananthapuram,2019-06-30,36.22,60.16,8.44,21.38,17.95,12.66,1.05,12.95,23.07,,,,89.0,Satisfactory
Gurugram,2015-12-22,,,16.36,6.85,19.58,,2.36,5.82,13.02,,,,,
Gurugram,2015-06-04,,,24.63,8.1,27.23,,0.25,11.37,11.61,,,,,
Patna,2015-06-15,,,24.72,21.89,56.33,,1.06,2.94,10.49,0.27,1.13,0.82,,
Patna,2019-09-10,62.32,,31.22,61.43,31.66,,1.07,36.21,38.28,3.44,33.01,12.5,,
Gurugram,2017-05-11,62.99,,9.53,19.56,,,0.97,9.59,57.29,0.03,1.85,,206.0,Poor
Thiruvananthapuram,2019-10-06,14.02,22.5,4.15,5.61,5.16,13.73,1.09,3.14,35.84,,,,45.0,Good
Jaipur,2018-04-23,14.18,60.12,8.11,38.5,42.09,28.57,0.82,7.95,40.93,0.38,2.36,,62.0,Satisfactory
Gurugram,2019-04-05,72.51,222.71,17.05,13.02,20.16,,0.68,15.85,25.57,3.34,6.18,10.32,197.0,Moderate
Delhi,2018-02-04,206.59,387.78,130.28,83.99,191.61,109.0,2.0,21.23,37.44,5.78,21.32,,422.0,Severe
Bengaluru,2020-03-12,15.71,32.67,11.55,28.56,28.88,8.94,0.83,6.35,34.99,0.26,1.29,,67.0,Satisfactory
Hyderabad,2018-07-07,13.91,25.08,4.03,23.72,16.31,19.07,0.16,6.59,17.96,0.29,1.71,0.09,59.0,Satisfactory
Amritsar,2019-05-24,17.15,46.55,13.72,10.53,32.83,6.85,0.99,11.6,27.69,4.06,3.05,10.42,58.0,Satisfactory
Delhi,2017-05-01,141.04,240.89,40.26,61.42,61.84,56.61,1.54,18.32,166.31,3.71,55.24,2.12,336.0,Very Poor
Delhi,2019-07-04,24.22,56.26,16.61,50.08,151.62,33.32,1.18,14.67,11.94,5.34,41.99,3.73,100.0,Satisfactory
Delhi,2015-10-11,25.49,22.45,43.91,35.77,17.25,,0.0,,20.5,0.11,0.0,,106.0,Moderate
Mumbai,2019-07-08,18.73,50.57,11.07,23.23,29.15,,0.75,18.91,45.52,7.68,,,48.0,Good
Jorapokhar,2020-04-28,,50.27,8.25,9.46,,8.67,0.39,,37.62,,,,141.0,Moderate
Patna,2018-05-12,37.77,,7.9,4.2,13.78,,0.8,2.69,25.23,0.12,0.63,0.22,91.0,Satisfactory
Lucknow,2017-03-02,178.05,,51.77,78.65,84.58,42.59,2.22,10.66,31.62,12.59,33.42,3.06,382.0,Very Poor
Delhi,2018-08-21,15.12,30.82,20.18,26.72,35.25,18.19,1.04,8.92,15.23,2.11,14.84,0.99,90.0,Satisfactory
Hyderabad,2019-10-05,21.05,72.11,5.53,35.43,27.14,14.21,0.48,7.47,29.62,2.19,10.3,2.59,77.0,Satisfactory
Talcher,2019-12-08,80.0,238.68,12.47,17.96,24.79,31.38,1.45,40.78,10.83,0.0,0.0,,218.0,Poor
Mumbai,2019-03-03,10.14,47.3,15.56,18.27,31.98,,1.57,10.27,28.76,0.24,,,66.0,Satisfactory
Gurugram,2019-07-31,34.49,100.53,13.17,36.74,31.14,,2.78,12.46,35.78,2.0,5.95,,140.0,Moderate
Jaipur,2019-05-26,60.93,113.36,6.3,22.88,24.13,23.23,0.29,9.58,16.48,0.26,1.74,,119.0,Moderate
Patna,2018-02-01,103.09,,23.56,84.9,51.74,,2.96,31.83,46.41,0.86,5.49,4.45,374.0,Very Poor
Talcher,2020-01-19,241.42,318.2,38.9,59.51,71.87,27.18,2.13,16.09,12.72,,,,372.0,Very Poor
Amritsar,2019-12-15,200.28,329.89,88.11,25.97,89.0,54.5,0.0,5.82,35.84,,,,343.0,Very Poor
Brajrajnagar,2020-04-30,10.76,24.51,3.05,5.47,4.57,6.99,3.34,0.74,16.39,0.0,,,106.0,Moderate
Gurugram,2019-01-20,79.23,200.62,41.11,27.92,87.29,,0.87,10.06,18.85,2.01,6.01,,231.0,Poor
Jaipur,2018-06-04,30.57,73.45,11.41,34.4,36.47,26.01,1.08,11.59,29.42,0.89,8.52,,85.0,Satisfactory
Delhi,2015-04-28,94.4,193.3,30.78,58.87,77.38,25.17,1.17,14.47,55.54,2.55,7.26,,299.0,Poor
Amaravati,2020-03-10,17.94,47.99,1.44,9.54,5.41,6.73,0.53,15.59,33.09,0.21,2.17,0.11,49.0,Good
Chandigarh,2020-06-03,30.51,45.65,1.88,9.77,7.02,9.58,0.33,8.84,38.12,6.88,0.27,0.84,46.0,Good
Aizawl,2018-05-25,20.9,44.91,14.34,0.76,26.04,,0.47,5.61,18.27,11.08,21.93,,69.0,Satisfactory
Hyderabad,2018-12-11,65.97,143.99,6.73,56.99,32.56,16.98,3.72,5.6,11.17,1.98,6.97,2.05,149.0,Moderate
Bengaluru,2020-02-24,84.96,139.73,17.41,34.64,39.64,13.98,0.89,8.47,39.53,0.46,1.23,,138.0,Moderate
Jaipur,2016-04-22,85.33,158.88,40.05,52.01,72.46,29.6,1.16,21.69,21.82,3.19,10.51,,163.0,Moderate
Chennai,2018-11-08,47.29,,8.16,10.25,17.4,103.14,0.79,5.12,21.99,0.04,0.08,,75.0,Satisfactory
Brajrajnagar,2019-08-12,18.92,43.08,8.38,15.66,15.6,20.52,0.43,2.79,32.79,0.54,,,78.0,Satisfactory
Bengaluru,2017-10-07,50.66,131.88,10.9,19.61,28.66,45.81,0.96,3.84,4.01,23.06,4.09,,130.0,Moderate
Ahmedabad,2017-11-02,84.46,,22.27,72.99,45.96,,54.62,139.73,15.8,6.3,80.04,1.48,1119.0,Severe
Amaravati,2016-03-24,51.8,87.56,3.18,25.57,16.55,11.21,0.82,8.73,11.06,0.33,1.11,0.3,122.0,Moderate
Amritsar,2018-09-24,24.32,43.66,9.5,6.23,11.63,13.17,0.14,8.38,19.75,1.65,1.78,6.09,36.0,Good
Gurugram,2019-10-28,87.18,107.16,17.07,27.65,31.4,,0.97,4.27,41.87,2.48,4.15,,170.0,Moderate
Delhi,2019-08-29,21.46,143.94,8.27,23.57,13.89,12.59,0.58,14.56,14.0,1.62,16.1,0.14,54.0,Satisfactory
